,,WN,RW,QN,BI,,,,,,WN,RW,QN,BI
DB1,GX,0.005725,0,0,0.00309,,,,DB1,GX,0.005707,0.000154,0,0.002748
,GY,0.005497,0.000699,0,0.002835,,,,,GY,0.00536,0.000397,0.000074,0.002989
,GZ,0.005598,0,0,0.001691,,,,,GZ,0.005633,0,0,0.002393
,AX,0.004704,0,0.00003,0.000927,,,,,AX,0.004702,0.000105,0.000025,0.001724
,AY,0.004516,0,0.00003,0.00198,,,,,AY,0.004537,0,0.000019,0.002103
,AZ,0.00527,0.000433,0.000045,0.004001,,,,,AZ,0.005217,0.00017,0.000052,0.00382
,,,,,,,,,,,,,,
DB2,GX,0.005765,0,0,0.001947,,,,DB2,GX,0.00591,0.000315,0.000136,0.002152
,GY,0.005687,0.001182,0,0.003097,,,,,GY,0.005559,0.000117,0.000041,0.004254
,GZ,0.005525,0,0,0.002147,,,,,GZ,0.005574,0,0,0.001945
,AX,0.004826,0,0,0.002056,,,,,AX,0.004727,0.000175,0,0.001903
,AY,0.004529,0.000455,0.000026,0.001415,,,,,AY,0.004475,0.00023,0.000034,0.001764
,AZ,0.005156,0,0.000038,0.00279,,,,,AZ,0.005229,0.000104,0.000013,0.002647
,,,,,,,,,,,,,,
DB3,GX,0.005131,0.000419,0.000034,0.002191,,,,DB3,GX,0.005122,0,0.000045,0.002423
,GY,0.005188,0.000732,0,0.002229,,,,,GY,0.005221,0.000512,0.00002,0.002449
,GZ,0.005407,0,0,0.002262,,,,,GZ,0.005408,0.000098,0,0.002161
,AX,0.004772,0,0,0.002072,,,,,AX,0.004718,0.000218,0.000014,0.001826
,AY,0.004531,0.000172,0,0.001321,,,,,AY,0.004468,0,0.000021,0.001844
,AZ,0.005379,0,0,0.002722,,,,,AZ,0.005317,0.000375,0,0.002735
,,,,,,,,,,,,,,
DB4,GX,0.005378,0.000832,0.00003,0.002983,,,,DB4,GX,0.005394,0.000465,0.000054,0.003361
,GY,0.005427,0,0,0.00392,,,,,GY,0.005523,0,0,0.003326
,GZ,0.005023,0,0.000016,0.002646,,,,,GZ,0.005157,0,0,0.002294
,AX,0.004813,0,0,0.001695,,,,,AX,0.00473,0.000449,0.00002,0.002246
,AY,0.004589,0.000646,0.000012,0,,,,,AY,0.004494,0.000366,0.000037,0.002353
,AZ,0.005246,0.000246,0.000025,0.003464,,,,,AZ,0.00508,0.000761,0.000055,0.004244
,,,,,,,,,,,,,,
DB5,GX,0.00546,0,0.000033,0.002673,,,,DB5,GX,0.005552,0,0.000018,0.002328
,GY,0.005529,0,0,0.00348,,,,,GY,0.005506,0.000105,0,0.003679
,GZ,0.005263,0,0,0.001167,,,,,GZ,0.005148,0.000136,0.000052,0.002148
,AX,0.00482,0.000143,0.000044,0.001538,,,,,AX,0.004806,0.000182,0.000029,0.001744
,AY,0.004654,0.000347,0.000038,0.001859,,,,,AY,0.004626,0.000286,0.00003,0.001694
,AZ,0.005366,0.000682,0,0.002095,,,,,AZ,0.005293,0.000638,0.000013,0.002703
,,,,,,,,,,,,,,
DB6,GX,0.005181,0.000512,0.000038,0.00261,,,,DB6,GX,0.005174,0,0.000047,0.003089
,GY,0.005327,0,0,0.002134,,,,,GY,0.005215,0,0.000016,0.002695
,GZ,0.005418,0,0.000051,0.003575,,,,,GZ,0.005477,0.000216,0.000053,0.003191
,AX,0.004729,0.000419,0.000033,0.001859,,,,,AX,0.004704,0.000165,0.000034,0.00225
,AY,0.004563,0.000141,0.000012,0.00225,,,,,AY,0.004519,0.000199,0.000025,0.00218
,AZ,0.005394,0.00056,0.000012,0.003272,,,,,AZ,0.005351,0,0.000032,0.003738
